0.000002,489.39,-387.793
0.000006,1423.063,-1076
0.00001,2078.294,-1784.002
0.000014,2676.782,-2172.275
0.000018,2809.612,-2288.459
0.000022,2698.585,-2175.333
0.000026,2131.096,-1624.029
0.00003,1553.659,-1159.225
0.000034,666.28,-500.244
0.000038,-395,401.761
0.000042,-1218.504,878.072
0.000046,-1754.075,1347.916
0.00005,-2350.11,1762.357
0.000054,-2353.832,1930.389
0.000058,-2200.228,1716.477
0.000062,-1806.987,1301.143
0.000066,-1251.437,970.983
0.00007,-492.596,361.103
0.000074,612.172,-459.727
0.000078,1165.153,-851.11
0.000082,1687.735,-1036.266
0.000086,1168.7824,-1310.389
